,Authors,Title,Cities,Publisher,Years,Fund,Segni
0,"Abba, Giuseppe Cesare",Ricordi garibaldini,Torino,Sten,1913,BTB Segn. 1493 ,nan
1,"Abernethy, Silvia M.",. Something to read. Qualcosa da leggere in inglese. Letture per gli studenti di inglese,"Firenze, La Nuova Italia",La Nuova Italia,1946,BTB Segn. 2404 ,nan
2,"Abetti, Giorgio",Amici e nemici di Galileo,Milano,Bompiani,1945,BTB Segn. 743 ,nan
3,"Abraham, Pierre",Créatures chez Balzac. Recherches sur la réalisation intellectuelle. Avec un texte inédit de Balzac,"Paris, NRF Gallimard",NRF Gallimard,1931,BTB Segn. 1116. ,"Nota di possesso autografa in data 10.1931. Pieghe, sottolineature, postille."
4,Accademia,Nazionale dei Lincei  Adunanza straordinaria pubblica Roma 14 novembre,"Grosseto, Bollettino di Statistica",Nazionale dei Lincei  Adunanza straordinaria pubblica Roma 14 novembre,1967,BTB Segn. Op.22 ,nan
5,"Acri, Francesco",L’acquedotto del Flora in Ma remma. Una grande opera voluta dal Duce,,Bollettino di Statistica,1938,BTB Segn. Op.110 ,nan
6,"Acton, Harold",Le cose migliori,"Torino, Einaudi",Le cose migliori.,1919,BTB Segn. 1803 ,Sottolineature. Ritaglio di giornale inserito.
7,"Adam, Antoine",Gli ultimi Medici,Paris,Einaudi,1962,BTB Segn. 1494 ,nan
8,"Addison, Joseph",Proust,"Roma, Regio esercito italiano",Hachette,1965,BAL ,nan
9,"Aegerter, Emmanuel",Addestramento della fanteria,Roma,Regio esercito italiano,1916,BAL ,"Nota di possesso di Enrico Gadda, Valpini B. Valchiese 25 campo."
10,"Afanas’ev, Aleksandr Nikolaevič",Il tappezziere politico,"London, Oxford University Press",Colombo,1945,BTB Segn. 1235 ,nan
11,Agenti segreti veneziani nel,The Advanced Learner’s Dictionary of Current English,"Milano, Garzanti",Oxford University Press,1955,BTB Segn. 2482 ,nan
12,"Agnetti, Vincenzo",Le grandi religioni,"Torino, Einaudi",Garzanti,1960,BTB Segn. 1775 ,nan
13,"Agostino, Aurelio",Antiche fiabe russe,Milano,Einaudi,1953,BAL ,nan
14,"Agostino, Aurelio",’700,"Milano, All’insegna del pesce d’oro",Bompiani,1942,BTB Segn. 1495 ,nan
15,"Agostino, Aurelio",Obsoleto,"Torino, SocietàEditrice Internazionale",All’insegna del pesce d’oro,1968,BAL ,nan
16,Ai vittoriosi di Castelfidardo,La città di Dio,Torino,SocietàEditrice Internazionale,1939,BTB Segn. 1776-1777 ,nan
17,Albert Paris Gütersloh zum,Le confessioni. Prefazione di M.Pellegrino,Paris,Einaudi,1966,BTB Segn. 1778 ,Biglietto inserito con invio autografodi Giulio Einaudi.
18,Gli albori della vita italiana.,"Confessions. Libri IVIII, IXXIII",Roma,Les Belles Lettres,1947,BTB Segn. 1779-1780 ,nan
19,.,XVIII settembre MDCCCLX XVIII settembre MDCCCCXII,München,s.n.,1912,BTB Segn. Op. 92 ,Nota di possesso autografa in data01.1920.
20,"Aleardi, Aleardo",75. Geburtstag,Milano,Piper,1962,BTB Segn. 1227 ,nan
21,"Alemán, Mateo","AlbertSorel, JeanLe déclin de la monarchie (",,JeanLe déclin de la monarchie (,1715,BTB Segn. 1591 ,Postille.
22,"Alessandrini, Garibaldo",,,Garzanti,1941,BTB Segn. 1578 ,nan
23,"Alfano, Giovanni Battista",,Asti,.,1865,BAL ,Nota di possesso Giuseppe Prospe rinieditore.
24,"Alfassio Grimaldi, Ugoberto",Le prime storie. s.l,Ardia,s.e.,1599,BTB Segn. 907 ,nan
25,"Alfero, Giovanni Angelo –",La vita del furfante (,Milano,La vita del furfante (,1940,BTB Segn. 130 ,Dedica dell’autore.
26,"Alfieri, Vittorio",Sabbie fiorite,"Milano, Dante Alighieri",Poeti d’oggi,1954,BAL ,nan
27,"Alfieri, Vittorio","Riassunto di geografia fisica egeologia per gli alunni delle scuole medie superiori. Napoli, Casaeditrice P. Federico e G",Torino,Casaeditrice P. Federico e G. Ardia,1970,BAL ,nan
28,"Alfieri, Vittorio",Il re buono,Firenze,Feltrinelli,1939,BTB Segn. 2406-2408 ,nan
29,"Alfieri, Vittorio Enzo","Haas, EugenCorso completo di lingua tedesca. Grammatica, esercizi, letture, lessico","Milano, Guigoni",Dante Alighieri,1949,BTB Segn. 132 ,nan
30,"Algarotti, Francesco",Giornali e lettere scelte,Firenze,Einaudi,1866,BTB Segn. 133-134 ,Postille.
31,"Alighieri, Dante",Tragedie. Con una notizia di C.Milanesi intorno agli autografi,Torino,Le Monnier,1876,BTB Segn. 131 ,Sottolineature.
32,"Alighieri, Dante",Vita scritta da esso,"GallenNeuchâtel, Fehr’sche BuchhandlungDelachaux & Niestlé",s.d. (ma:,1929,BTB Segn. 115 ,nan
33,"Alighieri, Dante",EnzoLucrezio,Firenze,Le Monnier,1942,BTB Segn. 135 ,nan
34,"Alighieri, Dante",Viaggio in Russia.Trompeo,"Milano,Mursia",Einaudi,1911,BTB Segn. 2409 ,nan
35,"Alighieri, Dante","Alge, Sines – Hamburger, Sophie – Rippmann, WalterLeitfaden für den ersten Unterrichtim Deutschen (II). St",Garroni,Fehr’sche BuchhandlungDelachaux & Niestlé,1928,BAL ,nan
36,"Alighieri, Dante",Il Convivio,Udine,Barbera,1965,BAL ,nan
37,"Alighieri, Dante",Dante. Tutte le opere,Udine,Mursia,1910,BAL ,nan
38,"Alighieri, Dante","Della Volgare Eloquenza. Roma,O",Milano,O. Garroni,1823,BTB Segn. 136 ,Nota di possesso di Adele Gadda Lehr.
39,"Alighieri, Dante",La Divina Commedia giusta la lezione del codice bartoliniano. Vol.1,,Fratelli Mattiuzzi,1833,BTB Segn. 140 ,nan
40,"Alighieri, Dante", La divina commedia giusta la lezione del codice bartoliniano. Voll.23,Milano,Fratelli Mattiuzzi,1864,BAL ,Dedica anonima
41,"Alighieri, Dante",La Divina Commedia esposta inprosa a comune intelligenza,RomaMilano,Schiepatti,1905,BTB Segn. 137 ,nan
42,"Alighieri, Dante","La Divina Commedia. Milano,Albrighi e Segati e C","Firenze,Barbera",Albrighi e Segati e C.,1905,BAL ,nan
43,"Alighieri, Dante",La Divina Commèdia,"Milano,Hoepli",Hoepli,1908,BAL ,nan
44,"Alighieri, Dante",La Divina Commedia,Torino,Albrighi e Segati e C.,1942,BAL ,nan
